CompanyName,Address,Person,PhoneNumber,EmailAddress,Licenses
CUPCCAA Contractor List Updated 02/12/2025 12:05 AM,"CompanyAddressContactPhone #EmailLicense ClassesExpiresA Good Roofer Inc11651 Riverside Drive Suite 145,Lakeside, CA, 92040",Mark Miller,619-561-7600,mark@agoodrooferinc.com,"C-39 (Roofing Contractor), C-43 (SheetMetal Contractor)"
"A Preman Roofing Inc (San Diego, CA)","875 34th Street, San Diego, CA,92102",Kyle Phillips,619-276-1700,kphillips@premanroofing.com,"C-39 (Roofing Contractor), ASB (AsbestosCertification), C-43 (Sheet MetalContractor), B (General BuildingContractor), C-10 (Electrical Contractor), C-61 (Limited Specialty)"
"A&A FLOORING, INC. dba A&S FLOORING","2461 FENTON ST, CHULAVISTA, CA, 91914",SALVADOR GUTIERREZ,619-585-8057,alma@asflooring.com,"C-15 (Flooring and Floor CoveringContractors), C-54 (Ceramic and MosaicTile Contractor)"
"A3 Communications, Inc. DBA Blue Violet Networks","17815 Newhope St, suite M,Fountain Valley, CA, 92708",Igor Bogatov,714-485-4451,bids@blueviolet.net,C-10 (Electrical Contractor)
"AAA Fence Company, Inc.","2746 Scott Blvd., Santa Clara,CA 95050",Keith  Trask,408-200-1720,keith@aaafenceco.com,C-13 (Fencing Contractor)
"Able Heating & Air Conditioning, Inc.","1020 Colorado Avenue, ChulaVista, CA, 91911",Christian Moreno,619-409-9100,cmoreno@ableac.net,"B (General Building Contractor), C-20(Warm-Air Heating, Ventilating and Air-Conditioning Contractor), C-43 (Sheet MetalContractor)"
Accent Electronics dba Standard Electronics,"613 W Main Street El Cajon, CA92020",Alyssa Silvas,619-596-9950,alyssas@standardelectronics.us,"C-10 (Electrical Contractor), C-7 (LowVoltage Systems Contractor), B (GeneralBuilding Contractor), C-16 (Fire ProtectionContractor)"
ACCI Roofing Services,"11325 Santa Maria Ave,Lakeside, CA, 92040",Larry Martin III,619-449-2533,larryjr@acciroofing.com,C-39 (Roofing Contractor)
ACCO ENGINEERED SYSTEMS INC dba ACCO ENGINEERED SYSTEMS,"HQ: 888 E Walnut St, PasadenaCA 91101 /  5950 Nancy RidgeDrive, Ste. 500 San Diego, CA92121",Cindi Adler,818-244-6571,cadler@accoes.com,"A (General Engineering Contractor), B(General Building Contractor), C-4 (Boiler,Hot Water Heating and Steam FittingContractor), C-10 (Electrical Contractor), C-16 (Fire Protection Contractor), C-20(Warm-Air Heating, Ventilating and Air-Conditioning Contractor), C-36 (PlumbingContractor), C-38 (Refrigeration Contractor),C-42 (Sanitation System Contractor)"
ACCURATE ASPHALT & CONCRETE INC,"946 DONAX AVE. #277,IMPERIAL BEACH, CA 91933",DEACON MARKEY,619-303-1829,admin@accurate-ac.com,"A (General Engineering Contractor), B(General Building Contractor), C-12(Earthwork and Paving Contractors), C-32(Parking and Highway ImprovementContractor)"
"Ace Coolers, Inc","7852 Raytheon Street, SanDiego, CA, 92111",Brian Osborne,858-541-2623,bosborne@acecoolers.com,C-38 (Refrigeration Contractor)
"ACH Mechanical Contractors, Inc.","1740 Howard Place, Redlands,CA 92373",Amanda Sanchez,909-307-2850,amandas@achmechanical.com,"C-20 (Warm-Air Heating, Ventilating and Air-Conditioning Contractor)"
"ACOUSTICWORKS,INC","622 AERO WAY, Escondido, CA,92029",AARON SELLERS,760-480-1113,asellers@acousticworks.net,C-2 (Insulation and Acoustical Contractor)
"Advance Communications & Consulting, Inc.","5909 Nathaniel Way,Bakersfield, CA, 93313",AJ Ramirez,661-664-0177,admin@advancecomm.net,C-7 (Low Voltage Systems Contractor)
"Air & Lube Systems, Inc.","8353 Demetre Ave.,Sacramento, CA, 95828",Miguel Micheltorena,916-642-7201,mmicheltorena@airandlube.com,"A (General Engineering Contractor), B(General Building Contractor), C-10(Electrical Contractor), C-61 (LimitedSpecialty), HAZ (Hazardous SubstanceRemoval Certification)"
"ALCHEMY ELECTRIC, CORP","PO BOX 3497, RANCHOCUCAMONGA , CA, 91729",RODRIGO RONQUILLO,951-237-0349,hotrod31609.rr@gmail.com,C-10 (Electrical Contractor)
All American Building Services,"PO Box 802586, Santa Clarita,CA, 91380",ANTHONY INNABI,323-422-6013,anthony@allamericanrebuild.com,"A (General Engineering Contractor), B(General Building Contractor), C-10(Electrical Contractor), C-27 (LandscapingContractor), C-33 (Painting and DecoratingContractor), C-36 (Plumbing Contractor),HAZ (Hazardous Substance RemovalCertification), C-61 (Limited Specialty)"
All Star Signs Inc,"1924 W Mission Rd, Suite A,ESCONDIDO, CA, 92029",Mike Cohen,760-746-6555,mcohen@allstarsignsinc.com,C-45 (Electrical Sign Contractor)
"All Time Fence Company, Inc.","2301 Auto Park Way, Escondido,CA, 92029",Santos  Magallanes,760-740-9070,alltimefence@att.net,"C-13 (Fencing Contractor), B (GeneralBuilding Contractor)"
Allegiance Electric Inc,"39952 Quigley Rd, Murrieta, CA,92562",Anthony Centanni,949-205-0067,acentanni@allegianceelec.com,C-10 (Electrical Contractor)
Allegion Access Technologies,"1100 North Magnolia, Suite N, ElCajon, CA, 92020",Ryan Lefner,314-349-9954,ryan.lefner@allegion.com,C-61 (Limited Specialty)
